!
! Vcc=1.5V, Icc= 4.6450 mA
!
# MHz S MA R 50
!  Freq-MHz   S11-mag  S11-arg   S21-mag  S21-arg   S12-mag  S12-arg   S22-mag  S22-arg
         80   0.94352    -3.87   0.22173   -97.19 0.0011782   -82.77   0.99643    -9.16
         90   0.94262    -4.26   0.24928   -96.43  0.001871  -174.65   0.99831   -10.12
        100   0.94246    -4.64    0.2723   -97.42 0.00085979  -150.63   0.99182   -11.13
        120   0.93795    -5.43   0.32832   -97.72 0.00064793    43.01   0.99211   -13.62
        140   0.93706    -6.12    0.3826   -98.33 0.00073524   134.79   0.98856   -15.72
        160    0.9373    -6.85   0.43512   -99.49 0.0012559   170.54   0.98619   -17.98
        180   0.93578    -7.75   0.48869  -100.04 0.00072393   -92.17    0.9824   -20.33
        200   0.93537    -8.41   0.54189  -100.55 0.00023547  -136.22   0.97797   -22.29
        220   0.93213    -9.11   0.59601  -101.53 0.00070843   164.76   0.97483   -24.63
        240   0.93107    -9.89   0.64867  -102.20 0.00050238   162.89   0.97017   -26.83
        260   0.93051   -10.71   0.70054  -102.81 0.00022013   -25.13   0.96491   -28.94
        280    0.9314   -11.49   0.75557  -103.80 0.00063087   -91.42   0.96115   -31.08
        300   0.92863   -12.20   0.80532  -104.65 0.00081998   132.02   0.95743   -33.45
        320   0.92752   -12.93   0.86381  -105.29 0.00081048   130.69   0.95276   -35.51
        340    0.9261   -13.54     0.914  -105.96 0.0010018   139.17   0.94783   -37.69
        360   0.92802   -14.27   0.96934  -106.71 0.0010538  -124.82   0.94272   -39.86
        380   0.92328   -15.08    1.0244  -107.46 0.0011437  -111.06   0.93573   -42.03
        400   0.92733   -15.77    1.0793  -107.86 0.0011534  -152.46   0.92846   -44.28
        420   0.92261   -16.45    1.1331  -108.63 0.00060835  -155.19    0.9255   -46.40
        440    0.9239   -17.16    1.1912  -109.30 0.0010145   158.20   0.92004   -48.49
        460   0.92396   -17.99    1.2498  -109.73 0.0019723  -121.64    0.9134   -50.75
        480   0.92424   -18.64     1.307  -110.40 0.0030396   162.49   0.91381   -52.64
        500   0.92276   -19.46     1.375  -111.10 0.0027281   178.03   0.90261   -54.91
        550   0.92215   -21.37    1.5346  -112.45 0.0045165  -160.90   0.88818   -60.45
        600   0.92361   -23.27    1.7135  -113.99  0.004688   178.62    0.8726   -65.93
        650   0.92438   -25.25    1.9116  -115.76 0.0067744  -162.28   0.85339   -71.50
        700   0.92756   -27.30    2.1427  -117.96 0.0056178  -163.85   0.83476   -77.33
        750   0.92728   -29.49    2.3819  -120.65  0.008574  -178.51   0.81261   -83.20
        800   0.92587   -31.80    2.6471  -123.67  0.009974  -175.76   0.79127   -89.29
        850   0.92897   -34.02    2.9247  -126.94  0.012447   177.12   0.76129   -95.42
        900   0.92697   -36.56    3.2158  -130.76  0.014014   171.65   0.73362  -101.70
        950   0.92327   -39.00    3.5125  -134.92  0.017417   171.03   0.70078  -108.37
       1000   0.91877   -41.86    3.8259  -139.57  0.019435   167.15   0.66711  -114.66
       1050   0.91108   -44.33    4.1385  -144.20  0.022284   164.45   0.62735  -121.57
       1100   0.90417   -47.19    4.4496  -149.38  0.024944   158.39   0.58555  -128.67
       1150   0.89333   -49.93    4.7537  -154.69  0.028202   151.92   0.53853  -135.93
       1200   0.88109   -52.74    5.0385  -160.21  0.031354   146.48   0.48977  -143.23
       1250    0.8633   -55.49    5.3006  -165.81  0.034887   142.54   0.43946  -150.78
       1300   0.84579   -58.47    5.5205  -171.67  0.037724   136.73   0.38584  -158.74
       1350   0.82216   -60.92    5.7195  -177.31  0.041224   132.12   0.33061  -167.04
       1400   0.80277   -63.49    5.8952   176.83   0.04264   126.49   0.27265  -175.67
       1450   0.77626   -66.04    6.0241   170.95  0.045721   120.73   0.21787   174.44
       1500   0.74842   -68.37    6.1011   165.41  0.048932   116.23   0.16656   162.67
       1505   0.74947   -68.43    6.1247   164.76   0.04873   116.34   0.15907   161.98
       1510   0.74443   -68.57    6.1228   164.29  0.048445   115.71   0.15412   159.26
       1515    0.7395   -69.02    6.1205   163.61  0.048838   114.81   0.15007   159.11
       1520   0.73887   -69.12    6.1319   163.05  0.049503   114.39   0.14571   157.54
       1525   0.73839   -69.40    6.1566   162.43  0.049255   113.68   0.13979   156.31
       1530   0.73345   -69.49    6.1581   161.94  0.049818   114.23   0.13296   154.22
       1535   0.72872   -69.58    6.1443   161.59  0.049159   113.61   0.13038   152.63
       1540   0.72552   -69.89    6.1565   160.94  0.049747   113.63   0.12488   150.73
       1545   0.72641   -70.22    6.1526   160.27  0.050949   112.45   0.11975   149.96
       1550   0.72291   -70.50    6.1558   159.63  0.050546   111.00   0.11664   148.45
       1555   0.72113   -70.58    6.1742   159.14  0.050524   111.95   0.11061   146.24
       1560   0.71671   -70.72    6.1618   158.70  0.050144   110.60   0.10669   143.88
       1565   0.71492   -70.98    6.1816   158.06  0.051273   109.87    0.1012   141.22
       1570    0.7126   -71.11    6.1719   157.54   0.05128   110.25  0.096895   139.02
       1575   0.70752   -71.33    6.1715   157.08   0.05186   108.73  0.092223   136.84
       1580   0.70773   -71.59    6.1745   156.41  0.051332   108.38  0.089071   133.94
       1585    0.7038   -71.96     6.185   155.94  0.051015   108.46  0.087138   130.34
       1590   0.70362   -72.11    6.1836   155.30  0.052606   107.96  0.080631   128.39
       1595    0.6987   -72.03    6.1867   154.79    0.0523   108.11  0.077197   124.10
       1600   0.69484   -72.63     6.166   154.21  0.051171   106.07  0.074322   123.43
       1605   0.69618   -72.20    6.1938   153.77  0.051076   106.22   0.06988   117.93
       1610   0.69007   -72.63    6.1811   153.25  0.052027   105.78  0.067547   112.18
       1615   0.68992   -72.73    6.1924   152.61  0.052858   105.25  0.065729   108.54
       1620   0.68411   -72.83    6.1753   152.08  0.052506   103.97  0.061875   101.39
       1625   0.68362   -72.97    6.1864   151.63  0.053316   105.81  0.062442    97.96
       1630   0.67994   -73.50    6.1655   151.13  0.052412   103.46  0.058208    95.60
       1635    0.6788   -73.45    6.1789   150.55  0.053478   103.95  0.056521    87.59
       1640    0.6764   -73.60    6.1871   149.97  0.053589   103.40  0.056033    82.47
       1645   0.67361   -73.68    6.1834   149.54  0.054203   102.37  0.057092    75.82
       1650   0.67033   -73.82     6.174   149.04  0.053571   102.27  0.056644    70.34
       1700   0.64173   -75.26    6.1388   143.78  0.054841    99.08  0.077233    25.99
       1750   0.62105   -76.59    6.0711   138.87   0.05574    95.23   0.10977     2.36
       1800   0.59921   -77.50    6.0027   134.01  0.056014    89.76    0.1491   -10.98
       1850   0.57469   -78.30    5.8956   129.47  0.057678    86.49   0.18523   -20.15
       1900   0.55478   -79.23    5.7992   124.97  0.057591    83.19   0.22068   -28.63
       1950   0.53774   -79.19    5.6822   120.67   0.05856    79.45   0.25321   -34.81
       2000   0.52172   -79.80    5.5549   116.66  0.058631    76.18   0.28472   -41.22
       2050   0.50471   -79.40    5.4213   112.76  0.057197    74.40   0.31459   -45.89
       2100   0.49484   -80.10    5.2982   108.79  0.057533    71.72   0.33635   -51.34
       2150   0.48369   -79.87    5.1691   105.19  0.058411    68.31   0.36393   -55.69
       2200   0.46972   -79.90     5.015   101.60  0.057591    65.32   0.38314   -60.55
       2250   0.46383   -79.76      4.89    98.19  0.056581    65.10   0.40602   -65.03
       2300   0.45658   -80.09    4.7546    94.86   0.05615    62.54   0.42666   -68.47
       2350   0.45068   -80.00    4.6173    91.78  0.056808    61.10   0.44237   -72.60
       2400   0.44446   -80.06    4.4967    88.61  0.055635    58.39   0.45973   -76.52
       2450   0.44251   -79.94    4.3699    85.53  0.054695    56.60   0.47473   -79.76
       2500   0.43544   -79.85    4.2419    82.71    0.0539    55.19   0.49056   -83.75
       2550   0.43422   -79.82     4.107    79.80  0.054046    54.41   0.50166   -86.78
       2600   0.43056   -80.24    3.9854    77.05   0.05229    51.81   0.51442   -90.11
       2650   0.42857   -80.22     3.866    74.24  0.053576    50.96   0.52584   -93.19
       2700    0.4283   -80.29    3.7552    71.66  0.051851    47.69   0.53641   -96.43
       2750   0.42887   -80.52    3.6476    69.18  0.049923    46.79   0.54846   -99.39
       2800   0.42788   -80.83    3.5319    66.70  0.049345    47.38   0.55825  -102.30
       2850    0.4296   -81.30    3.4344    64.13  0.049818    45.40   0.56666  -105.03
       2900   0.42934   -81.16    3.3249    61.88  0.048677    45.74   0.57618  -107.98
       2950   0.43201   -81.47    3.2239    59.46  0.046782    45.51   0.58684  -110.55
       3000   0.43048   -82.33    3.1187    57.22  0.046317    45.22   0.59355  -113.07
       3100   0.43617   -83.04    2.9316    52.93  0.044715    42.59   0.60796  -118.15
       3200   0.43867   -84.00    2.7452    48.75  0.042109    43.50   0.61885  -123.30
       3300   0.44352   -85.97     2.579    44.57  0.042072    43.43   0.63337  -127.98
       3400   0.45076   -87.44    2.4198    40.58  0.039841    44.99   0.64391  -132.56
       3500   0.45437   -89.11    2.2597    36.85   0.03812    47.09   0.65517  -136.96
       3600   0.46272   -91.11    2.1136    33.27  0.036719    48.13   0.66418  -141.46
       3700    0.4653   -93.18    1.9743    29.92  0.036587    50.39   0.67419  -145.59
       3800   0.47008   -94.79    1.8439    26.93   0.03627    52.74   0.67866  -149.66
       3900   0.47331   -96.99    1.7161    23.92  0.035992    55.51   0.68241  -153.45
       4000   0.47891   -99.28    1.5954    20.88  0.036133    59.34   0.69088  -157.29
       4100   0.48322  -101.49    1.4886    18.14  0.037148    61.12   0.69604  -161.01
       4200   0.48692  -103.78    1.3823    15.41  0.038431    64.64   0.70009  -164.28
       4300   0.49314  -106.07    1.2831    12.94  0.038874    68.42    0.7074  -167.95
       4400   0.49853  -108.97    1.1836    10.71  0.040548    70.40   0.71166  -171.51
       4500   0.50485  -110.88    1.0969     8.78  0.043185    72.18   0.71347  -174.99
       4600   0.50867  -113.36    1.0111     7.11  0.045441    75.35   0.71752  -178.46
       4700   0.51322  -115.64    0.9292     5.51  0.048303    76.99   0.72135   178.63
       4800   0.52061  -118.50   0.85773     4.15  0.050845    77.63   0.72077   175.45
       4900   0.52669  -121.08   0.78671     3.14  0.053966    78.42   0.72596   172.29
       5000   0.53349  -123.81   0.72232     2.58  0.057394    79.07   0.72727   169.29
       5100   0.53592  -126.45    0.6582     2.30  0.060621    78.78   0.72917   166.35
       5200   0.54568  -129.07   0.60501     2.46  0.064528    78.42   0.72914   163.53
       5300   0.54913  -131.66   0.55325     3.40  0.068918    78.99   0.73043   160.84
       5400   0.55497  -134.38   0.50915     4.78  0.072124    78.64   0.72966   158.07
       5500   0.56055  -137.15    0.4698     6.65  0.075384    76.41   0.73085   155.43
       5600   0.56503  -140.27   0.43442     9.09  0.079575    76.03    0.7327   152.82
       5700   0.57131  -142.56   0.40836    12.49  0.085321    76.55   0.73145   150.11
       5800   0.57463  -145.33   0.38969    16.19  0.089948    74.50   0.72879   147.48
       5900   0.57916  -148.00   0.37862    19.87  0.093542    73.13   0.72656   145.05
       6000   0.58251  -150.64    0.3735    22.52  0.097221    70.35   0.72156   142.92
!  
! Device Noise Parameters
!  Freq-MHz   Fmin-dB  Gopt-mag  Gopt-arg   Rn-Ohm_normalized
       1000    0.7534   0.41254    33.41    0.2103
       1050    0.7883   0.40894    34.85    0.2030
       1100    0.7626   0.40628    35.78    0.2000
       1150    0.7966   0.40991    36.66    0.1982
       1200    0.7627   0.39990    38.55    0.1938
       1250    0.7902   0.40444    39.48    0.1828
       1300    0.8034   0.39162    39.07    0.1863
       1350    0.7911   0.38564    41.06    0.1813
       1400    0.8471   0.39384    41.75    0.1855
       1450    0.8388   0.38554    43.96    0.1745
       1500    0.8117   0.37590    44.00    0.1775
       1505    0.7906   0.37998    46.84    0.1684
       1510    0.8115   0.37927    45.47    0.1782
       1515    0.8088   0.37788    44.81    0.1760
       1520    0.7784   0.39982    46.39    0.1758
       1525    0.7813   0.38090    45.07    0.1773
       1530    0.7556   0.38483    45.20    0.1833
       1535    0.7936   0.37939    44.77    0.1790
       1540    0.7916   0.38441    45.29    0.1715
       1545    0.7989   0.37201    46.38    0.1730
       1550    0.7997   0.37818    45.27    0.1754
       1555    0.8064   0.37216    46.38    0.1762
       1560    0.8395   0.38788    46.52    0.1781
       1565    0.8236   0.37480    45.96    0.1743
       1570    0.7839   0.36426    43.64    0.1836
       1575    0.7872   0.39129    45.31    0.1750
       1580    0.7948   0.39220    45.39    0.1767
       1585    0.7957   0.37421    46.12    0.1716
       1590    0.7889   0.37184    47.34    0.1728
       1595    0.8078   0.37730    46.69    0.1707
       1600    0.7943   0.37140    47.05    0.1743
       1605    0.7636   0.37425    46.56    0.1790
       1610    0.7849   0.37131    44.78    0.1758
       1615    0.7800   0.37693    47.09    0.1714
       1620    0.7645   0.37393    47.43    0.1761
       1625    0.8076   0.36990    47.01    0.1664
       1630    0.7934   0.37220    46.39    0.1748
       1635    0.7809   0.36258    47.10    0.1837
       1640    0.7924   0.37591    48.07    0.1752
       1645    0.7799   0.37191    48.25    0.1705
       1650    0.8162   0.39518    48.92    0.1722
       1700    0.8103   0.37859    48.49    0.1682
       1750    0.7697   0.36904    49.98    0.1791
       1800    0.7773   0.36616    51.22    0.1723
       1850    0.7967   0.36883    52.87    0.1644
       1900    0.8001   0.36527    53.29    0.1674
       1950    0.7755   0.35589    54.58    0.1708
       2000    0.6903   0.35162    56.09    0.1825
       2050    0.7923   0.34972    57.15    0.1660
       2100    0.7767   0.34723    60.29    0.1634
       2150    0.8142   0.34824    60.12    0.1573
       2200    0.8193   0.34668    58.84    0.1712

